代码,名称
516980	证券ETF先锋	华富基金管理有限公司	
560000	智慧电车ETF	浦银安盛基金管理有限公司	
560050	MSCI中国A50ETF	汇添富基金管理股份有限公司	
560100	中证500增强ETF	南方基金管理股份有限公司	
560500	中证500成长ETF	鹏扬基金管理有限公司	
560560	泰康碳中和ETF	泰康资产管理有限责任公司	
560600	医药创新ETF	方正富邦基金管理有限公司	
560650	核心50ETF	民生加银基金管理有限公司	
560660	云50ETF	新华基金管理股份有限公司	
560800	数字经济ETF	鹏扬基金管理有限公司	
560880	家电ETF基金	广发基金管理有限公司	
560900	创新药企ETF	上投摩根基金管理有限公司	
560990	中金科技先锋ETF	中金基金管理有限公司	
561100	消费电子龙头ETF	富国基金管理有限公司	
561120	家电ETF	富国基金管理有限公司	
561130	国货ETF	富国基金管理有限公司	
561300	300增强ETF	国泰基金管理有限公司	
561310	消电ETF	国泰基金管理有限公司	
561350	国泰中证500ETF	国泰基金管理有限公司	
561500	漂亮50ETF	华泰柏瑞基金管理有限公司	
561550	500增强ETF	华泰柏瑞基金管理有限公司	
561560	电力ETF	华泰柏瑞基金管理有限公司	
561600	消费电子ETF	平安基金管理有限公司	
561800	稀有金属ETF基金	华富基金管理有限公司	
561900	沪深300ESGETF	招商基金管理有限公司	
561910	电池ETF	招商基金管理有限公司	
561990	沪深300增强ETF	招商基金管理有限公司	
562300	碳中和ETF基金	银华基金管理股份有限公司	
562360	机器人50ETF	银华基金管理股份有限公司	
562500	机器人ETF	华夏基金管理有限公司	
562510	旅游ETF	华夏基金管理有限公司	
562520	1000成长ETF	华夏基金管理有限公司	
562800	稀有金属ETF	嘉实基金管理有限公司	
562880	电池ETF基金	嘉实基金管理有限公司	
562900	现代农业ETF	易方达基金管理有限公司	
562910	高端制造ETF	易方达基金管理有限公司	
562950	消费电子50ETF	易方达基金管理有限公司	
563000	中国A50ETF	易方达基金管理有限公司
517000	沪港深500ETF	银华基金管理股份有限公司	
517010	沪港深500ETF指数	易方达基金管理有限公司	
517030	沪港深300ETF基金	易方达基金管理有限公司	
517050	互联网50ETF	华泰柏瑞基金管理有限公司	
517060	沪港深ETF500	华宝基金管理有限公司	
517080	沪港深500ETF基金	汇添富基金管理股份有限公司	
517090	共赢ETF	国泰基金管理有限公司	
517100	AH500ETF	富国基金管理有限公司	
517110	创新药沪深港ETF	国泰基金管理有限公司	
517120	沪港深创新药ETF	华泰柏瑞基金管理有限公司	
517160	长江保护主题ETF	南方基金管理股份有限公司	
517170	沪港深ETF	华夏基金管理有限公司	
517180	开放共赢ETF	南方基金管理股份有限公司	
517200	互联网ETF	嘉实基金管理有限公司	
517270	沪港深科技TOPETF	浦银安盛基金管理有限公司	
517280	网购ETF	天弘基金管理有限公司	
517300	沪港深300ETF	国寿安保基金管理有限公司	
517330	长江保护ETF	易方达基金管理有限公司	
517350	中概科技ETF	广发基金管理有限公司	
517360	沪港深科技ETF	华安基金管理有限公司	
517380	创新药沪港深ETF	天弘基金管理有限公司	
517390	云计算沪港深ETF	天弘基金管理有限公司	
517500	游戏沪港深ETF	国泰基金管理有限公司	
517550	消费ETF沪港深	招商基金管理有限公司	
517660	物联网沪港深ETF	天弘基金管理有限公司	
517760	消费TOPETF	浦银安盛基金管理有限公司	
517770	游戏传媒ETF	浦银安盛基金管理有限公司	
517780	红300ETF	浦银安盛基金管理有限公司	
517800	人工智能50ETF	方正富邦基金管理有限公司	
517850	张江ETF	汇添富基金管理股份有限公司	
517880	品牌消费ETF	华泰柏瑞基金管理有限公司	
517900	银行ETF优选	招商基金管理有限公司	
517960	科技AHETF	上投摩根基金管理有限公司	
517990	医药ETF沪港深	招商基金管理有限公司
588000	科创50ETF	华夏基金管理有限公司	
588050	科创ETF	工银瑞信基金管理有限公司	
588060	科创板龙头ETF	广发基金管理有限公司	
588080	科创板50ETF	易方达基金管理有限公司	
588090	科创板ETF	华泰柏瑞基金管理有限公司	
588100	科创信息技术ETF	嘉实基金管理有限公司	
588150	科创龙头ETF	南方基金管理股份有限公司	
588180	科创50ETF基金	国联安基金管理有限公司	
588260	科创信息ETF	华安基金管理有限公司	
588280	科创50ETF华安	华安基金管理有限公司
588300	双创ETF	招商基金管理有限公司	
588310	双创ETF基金	方正富邦基金管理有限公司	
588330	双创龙头ETF	华宝基金管理有限公司	
588360	科创创业ETF	国泰基金管理有限公司	
588380	创50ETF	富国基金管理有限公司	
588390	科创创业50ETF	博时基金管理有限公司	
588400	双创50ETF	嘉实基金管理有限公司	
